D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
55872|2018|Toyota|Camry|Sedan|Black|45231|15995.0
66214|2015|Chevrolet|Tahoe|SUV|White|88321|18995.0
77439|2020|Nissan|Altima|Sedan|Blue|32112|17995.0
88550|2011|Jeep|Wrangler|SUV|Green|120455|13995.0
99023|2017|BMW|328i|Sedan|Silver|65432|20995.0
11245|2019|Hyundai|Elantra|Sedan|Red|27891|14995.0
22356|2014|Toyota|Tacoma|truck|Gray|98455|16995.0
33467|2021|Tesla|Model 3|Sedan|White|15234|32995.0
44578|2016|Subaru|Outback|SUV|Blue|74321|17995.0
55689|2013|Dodge|Charger|Sedan|Black|110543|12995.0
66790|2022|Kia|Sportage|SUV|Orange|9876|26995.0
